stt,bdate,hocvan,thunhap,luongkd,thoigianlv,kinhnghiem,gioi,gioitinh,nu,chucvu,nhanvien,truongnhom,quanly,bangcap,tuoi,luongthang
1,2/3/1952,15,57000,27000,98,144,m,1,0,3,0,0,1,3,39,4750
2,5/23/1958,16,40200,18750,98,36,m,1,0,1,1,0,0,4,33,3350
3,7/26/1929,12,21450,12000,98,381,f,0,1,1,1,0,0,2,62,1787.5
4,4/15/1947,8,21900,13200,98,190,f,0,1,1,1,0,0,1,44,1825
5,2/9/1955,15,45000,21000,98,138,m,1,0,1,1,0,0,3,36,3750
6,8/22/1958,15,32100,13500,98,67,m,1,0,1,1,0,0,3,33,2675
7,4/26/1956,15,36000,18750,98,114,m,1,0,1,1,0,0,3,35,3000
8,5/6/1966,12,21900,9750,98,0,f,0,1,1,1,0,0,2,25,1825
9,1/23/1946,15,27900,12750,98,115,f,0,1,1,1,0,0,3,45,2325
10,2/13/1946,12,24000,13500,98,244,f,0,1,1,1,0,0,2,45,2000
11,2/7/1950,16,30300,16500,98,143,f,0,1,1,1,0,0,4,41,2525
12,1/11/1966,8,28350,12000,98,26,m,1,0,1,1,0,0,1,25,2362.5
13,7/17/1960,15,27750,14250,98,34,m,1,0,1,1,0,0,3,31,2312.5
14,2/26/1949,15,35100,16800,98,137,f,0,1,1,1,0,0,3,42,2925
15,8/29/1962,12,27300,13500,97,66,m,1,0,1,1,0,0,2,29,2275
16,11/17/1964,12,40800,15000,97,24,m,1,0,1,1,0,0,2,27,3400
17,7/18/1962,15,46000,14250,97,48,m,1,0,1,1,0,0,3,29,3833.33333333333
18,3/20/1956,16,103750,27510,97,70,m,1,0,3,0,0,1,4,35,8645.83333333333
19,8/19/1962,12,42300,14250,97,103,m,1,0,1,1,0,0,2,29,3525
20,1/23/1940,12,26250,11550,97,48,f,0,1,1,1,0,0,2,51,2187.5
21,2/19/1963,16,38850,15000,97,17,f,0,1,1,1,0,0,4,28,3237.5
22,9/24/1940,12,21750,12750,97,315,m,1,0,1,1,0,0,2,51,1812.5
23,3/15/1965,15,24000,11100,97,75,f,0,1,1,1,0,0,3,26,2000
24,3/27/1933,12,16950,9000,97,124,f,0,1,1,1,0,0,2,58,1412.5
25,7/1/1942,15,21150,9000,97,171,f,0,1,1,1,0,0,3,49,1762.5
26,11/8/1966,15,31050,12600,96,14,m,1,0,1,1,0,0,3,25,2587.5
27,3/19/1954,19,60375,27480,96,96,m,1,0,3,0,0,1,5,37,5031.25
28,4/11/1963,15,32550,14250,96,43,m,1,0,1,1,0,0,3,28,2712.5
29,1/28/1944,19,135000,79980,96,199,m,1,0,3,0,0,1,5,47,11250
30,9/17/1961,15,31200,14250,96,54,m,1,0,1,1,0,0,3,30,2600
31,2/24/1964,12,36150,14250,96,83,m,1,0,1,1,0,0,2,27,3012.5
32,1/28/1954,19,110625,45000,96,120,m,1,0,3,0,0,1,5,37,9218.75
33,3/18/1961,15,42000,15000,96,68,m,1,0,1,1,0,0,3,30,3500
34,2/2/1949,19,92000,39990,96,175,m,1,0,3,0,0,1,5,42,7666.66666666667
35,8/22/1961,17,81250,30000,96,18,m,1,0,3,0,0,1,5,30,6770.83333333333
36,8/7/1963,8,31350,11250,96,52,f,0,1,1,1,0,0,1,28,2612.5
37,10/9/1954,12,29100,13500,96,113,m,1,0,1,1,0,0,2,37,2425
38,4/27/1962,15,31350,15000,96,49,m,1,0,1,1,0,0,3,29,2612.5
39,6/22/1960,16,36000,15000,96,46,m,1,0,1,1,0,0,4,31,3000
40,8/28/1933,15,19200,9000,96,23,f,0,1,1,1,0,0,3,58,1600
41,3/18/1961,12,23550,11550,96,52,f,0,1,1,1,0,0,2,30,1962.5
42,9/23/1960,15,35100,16500,95,90,m,1,0,1,1,0,0,3,31,2925
43,1/18/1964,12,23250,14250,95,46,m,1,0,1,1,0,0,2,27,1937.5
44,6/15/1963,8,29250,14250,95,50,m,1,0,1,1,0,0,1,28,2437.5
45,8/2/1938,12,30750,13500,95,307,m,1,0,2,0,1,0,2,53,2562.5
46,11/18/1940,15,22350,12750,95,165,f,0,1,1,1,0,0,3,51,1862.5
47,4/28/1938,12,30000,16500,95,228,f,0,1,1,1,0,0,2,53,2500
48,6/7/1947,12,30750,14100,94,240,m,1,0,2,0,1,0,2,44,2562.5
49,9/16/1958,15,34800,16500,94,93,m,1,0,1,1,0,0,3,33,2900
50,2/9/1960,16,60000,23730,94,59,m,1,0,3,0,0,1,4,31,5000
51,7/8/1962,12,35550,15000,94,48,m,1,0,1,1,0,0,2,29,2962.5
52,11/12/1963,15,45150,15000,94,40,m,1,0,1,1,0,0,3,28,3762.5
53,4/21/1954,18,73750,26250,94,56,m,1,0,3,0,0,1,5,37,6145.83333333333
54,6/4/1931,12,25050,13500,94,444,m,1,0,1,1,0,0,2,60,2087.5
55,6/25/1960,12,27000,15000,94,120,m,1,0,1,1,0,0,2,31,2250
56,4/16/1962,15,26850,13500,94,5,m,1,0,1,1,0,0,3,29,2237.5
57,4/15/1963,15,33900,15750,94,78,m,1,0,1,1,0,0,3,28,2825
58,11/14/1964,15,26400,13500,94,3,f,0,1,1,1,0,0,3,27,2200
59,5/7/1961,15,28050,14250,94,36,m,1,0,1,1,0,0,3,30,2337.5
60,2/16/1959,12,30900,15000,94,102,m,1,0,1,1,0,0,2,32,2575
61,4/28/1964,8,22500,9750,94,36,m,1,0,1,1,0,0,1,27,1875
62,7/18/1962,16,48000,21750,93,22,m,1,0,3,0,0,1,4,29,4000
63,8/20/1961,17,55000,26250,93,32,m,1,0,3,0,0,1,5,30,4583.33333333333
64,9/28/1963,16,53125,21000,93,48,m,1,0,3,0,0,1,4,28,4427.08333333333
65,3/28/1964,8,21900,14550,93,41,m,1,0,1,1,0,0,1,27,1825
66,2/16/1962,19,78125,30000,93,7,m,1,0,3,0,0,1,5,29,6510.41666666667
67,5/28/1964,16,46000,21240,93,35,m,1,0,3,0,0,1,4,27,3833.33333333333
68,5/5/1963,16,45250,21480,93,36,m,1,0,3,0,0,1,4,28,3770.83333333333
69,6/23/1960,16,56550,25000,93,34,m,1,0,3,0,0,1,4,31,4712.5
70,2/8/1962,15,41100,20250,93,27,m,1,0,1,1,0,0,3,29,3425
71,8/26/1948,17,82500,34980,93,207,m,1,0,3,0,0,1,5,43,6875
72,1/7/1964,16,54000,18000,93,11,f,0,1,1,1,0,0,4,27,4500
73,2/9/1968,12,26400,10500,93,0,f,0,1,1,1,0,0,2,23,2200
74,4/28/1933,15,33900,19500,93,192,f,0,1,1,1,0,0,3,58,2825
75,8/12/1965,15,24150,11550,93,0,f,0,1,1,1,0,0,3,26,2012.5
76,9/3/1967,15,29250,11550,93,11,f,0,1,1,1,0,0,3,24,2437.5
77,9/9/1968,12,27600,11400,93,6,f,0,1,1,1,0,0,2,23,2300
78,8/20/1968,12,22950,10500,93,10,f,0,1,1,1,0,0,2,23,1912.5
79,1/23/1962,16,34800,14550,93,8,f,0,1,1,1,0,0,4,29,2900
80,5/25/1961,16,51000,18000,93,22,f,0,1,1,1,0,0,4,30,4250
81,3/12/1968,12,24300,10950,93,5,f,0,1,1,1,0,0,2,23,2025
82,8/28/1947,12,24750,14250,93,193,f,0,1,1,1,0,0,2,44,2062.5
83,10/12/1967,12,22950,11250,93,0,f,0,1,1,1,0,0,2,24,1912.5
84,3/12/1967,8,25050,10950,93,8,f,0,1,1,1,0,0,1,24,2087.5
85,4/9/1962,15,25950,17100,92,42,m,1,0,1,1,0,0,3,29,2162.5
86,8/25/1961,15,31650,15750,92,64,m,1,0,1,1,0,0,3,30,2637.5
87,10/20/1959,12,24150,14100,92,130,m,1,0,1,1,0,0,2,32,2012.5
88,2/10/1962,19,72500,28740,92,10,m,1,0,3,0,0,1,5,29,6041.66666666667
89,6/24/1961,19,68750,27480,92,8,m,1,0,3,0,0,1,5,30,5729.16666666667
90,2/27/1938,8,16200,9750,92,0,f,0,1,1,1,0,0,1,53,1350
91,11/4/1967,12,20100,11250,92,24,f,0,1,1,1,0,0,2,24,1675
92,6/25/1968,8,24000,10950,92,6,f,0,1,1,1,0,0,1,23,2000
93,3/5/1968,12,25950,10950,92,0,f,0,1,1,1,0,0,2,23,2162.5
94,8/4/1950,12,24600,10050,92,44,f,0,1,1,1,0,0,2,41,2050
95,8/8/1968,12,28500,10500,92,6,f,0,1,1,1,0,0,2,23,2375
96,10/2/1933,8,30750,15000,92,432,m,1,0,2,0,1,0,1,58,2562.5
97,1/18/1953,17,40200,19500,92,168,m,1,0,1,1,0,0,5,38,3350
98,5/17/1956,8,30000,15000,92,144,m,1,0,2,0,1,0,1,35,2500
99,7/7/1968,12,22050,10950,92,5,f,0,1,1,1,0,0,2,23,1837.5
100,10/25/1963,18,78250,27480,91,47,m,1,0,3,0,0,1,5,28,6520.83333333333
101,3/14/1960,16,60625,22500,91,44,m,1,0,3,0,0,1,4,31,5052.08333333333
102,3/28/1963,14,39900,15750,91,59,m,1,0,1,1,0,0,3,28,3325
103,3/17/1959,19,97000,35010,91,68,m,1,0,3,0,0,1,5,32,8083.33333333333
104,11/5/1962,15,27450,15750,91,48,m,1,0,1,1,0,0,3,29,2287.5
105,3/7/1966,15,31650,13500,91,18,m,1,0,1,1,0,0,3,25,2637.5
106,8/4/1962,19,91250,29490,91,23,m,1,0,3,0,0,1,5,29,7604.16666666667
107,8/16/1960,12,25200,14400,91,83,f,0,1,1,1,0,0,2,31,2100
108,7/16/1930,12,21000,11550,91,108,f,0,1,1,1,0,0,2,61,1750
109,11/10/1963,12,30450,15000,91,49,m,1,0,1,1,0,0,2,28,2537.5
110,10/29/1952,15,28350,18000,91,151,m,1,0,1,1,0,0,3,39,2362.5
111,11/27/1940,12,30750,9000,91,314,m,1,0,2,0,1,0,2,51,2562.5
112,6/21/1948,12,30750,15000,91,240,m,1,0,2,0,1,0,2,43,2562.5
113,10/6/1959,16,54875,27480,90,68,m,1,0,3,0,0,1,4,32,4572.91666666667
114,8/25/1961,14,37800,16500,90,60,m,1,0,1,1,0,0,3,30,3150
115,5/12/1961,15,33450,14100,90,85,m,1,0,1,1,0,0,3,30,2787.5
116,6/9/1962,15,30300,16500,90,16,m,1,0,1,1,0,0,3,29,2525
117,1/14/1932,12,31500,18750,90,205,f,0,1,1,1,0,0,2,59,2625
118,3/4/1964,12,31650,14250,90,48,f,0,1,1,1,0,0,2,27,2637.5
119,7/23/1963,12,25200,14100,90,55,f,0,1,1,1,0,0,2,28,2100
120,11/12/1964,16,37800,15750,90,7,f,0,1,3,0,0,1,4,27,3150
121,8/6/1936,15,18750,10500,90,54,f,0,1,1,1,0,0,3,55,1562.5
122,9/26/1965,15,32550,13500,90,22,f,0,1,1,1,0,0,3,26,2712.5
123,4/24/1949,12,33300,15000,90,3,f,0,1,1,1,0,0,2,42,2775
124,5/29/1963,16,38550,16500,90,0,f,0,1,1,1,0,0,4,28,3212.5
125,8/6/1956,12,27450,15000,90,173,m,1,0,1,1,0,0,2,35,2287.5
126,1/21/1951,15,24300,15000,90,191,m,1,0,2,0,1,0,3,40,2025
127,9/1/1950,12,30750,15000,90,209,m,1,0,2,0,1,0,2,41,2562.5
128,7/25/1946,12,19650,9750,90,229,f,0,1,1,1,0,0,2,45,1637.5
129,7/18/1959,17,68750,27510,89,38,m,1,0,3,0,0,1,5,32,5729.16666666667
130,9/6/1958,20,59375,30000,89,6,m,1,0,3,0,0,1,5,33,4947.91666666667
131,2/8/1962,15,31500,15750,89,22,m,1,0,1,1,0,0,3,29,2625
132,5/17/1953,12,27300,17250,89,175,m,1,0,1,1,0,0,2,38,2275
133,9/12/1959,15,27000,15750,89,87,m,1,0,1,1,0,0,3,32,2250
134,11/10/1941,16,41550,24990,89,285,f,0,1,3,0,0,1,4,50,3462.5
135,5/22/1968,12,26250,10950,89,0,f,0,1,1,1,0,0,2,23,2187.5
136,8/25/1939,12,22200,15000,88,324,m,1,0,1,1,0,0,2,52,1850
137,7/12/1937,21,65000,37500,88,264,m,1,0,3,0,0,1,5,54,5416.66666666667
138,1/9/1947,12,30900,15000,88,252,m,1,0,1,1,0,0,2,44,2575
139,6/18/1931,8,20100,13200,88,90,f,0,1,1,1,0,0,1,60,1675
140,4/5/1965,12,22350,13500,88,26,f,0,1,1,1,0,0,2,26,1862.5
141,6/14/1966,15,35550,13350,88,32,f,0,1,1,1,0,0,3,25,2962.5
142,11/13/1966,12,28500,13950,88,34,f,0,1,1,1,0,0,2,25,2375
143,8/24/1939,12,24450,13200,88,107,f,0,1,1,1,0,0,2,52,2037.5
144,8/28/1931,8,16650,9750,88,412,f,0,1,1,1,0,0,1,60,1387.5
145,1/15/1964,12,26700,13500,88,38,m,1,0,1,1,0,0,2,27,2225
146,1/2/1951,18,43950,23250,88,182,m,1,0,1,1,0,0,5,40,3662.5
147,9/11/1936,15,23700,13500,88,359,m,1,0,1,1,0,0,3,55,1975
148,10/5/1959,15,26550,14250,88,61,f,0,1,1,1,0,0,3,32,2212.5
149,6/28/1962,12,27600,15000,87,75,m,1,0,1,1,0,0,2,29,2300
150,3/5/1954,12,25800,15000,87,143,m,1,0,1,1,0,0,2,37,2150
151,8/16/1954,16,42300,26250,87,126,m,1,0,3,0,0,1,4,37,3525
152,5/3/1929,8,30750,15000,87,451,m,1,0,2,0,1,0,1,62,2562.5
153,5/13/1967,12,26700,12900,87,18,f,0,1,1,1,0,0,2,24,2225
154,6/7/1940,12,20850,12000,87,163,f,0,1,1,1,0,0,2,51,1737.5
155,3/6/1963,15,35250,15000,87,54,m,1,0,1,1,0,0,3,28,2937.5
156,1/12/1963,15,26700,15000,87,56,m,1,0,1,1,0,0,3,28,2225
157,7/2/1967,12,26550,13050,87,11,f,0,1,1,1,0,0,2,24,2212.5
158,9/20/1964,12,27750,12000,87,11,f,0,1,1,1,0,0,2,27,2312.5
159,1/13/1951,16,25050,12750,87,123,f,0,1,1,1,0,0,4,40,2087.5
160,8/27/1951,16,66000,47490,86,150,m,1,0,3,0,0,1,4,40,5500
161,2/11/1963,16,52650,19500,86,20,m,1,0,1,1,0,0,4,28,4387.5
162,5/25/1961,16,45625,23250,86,60,m,1,0,3,0,0,1,4,30,3802.08333333333
163,11/10/1965,15,30900,15000,86,25,m,1,0,1,1,0,0,3,26,2575
164,8/13/1965,15,29400,16500,86,24,f,0,1,1,1,0,0,3,26,2450
165,4/29/1966,15,33300,13500,86,24,f,0,1,1,1,0,0,3,25,2775
166,7/12/1942,12,21900,9750,86,156,f,0,1,1,1,0,0,2,49,1825
167,8/26/1932,12,18150,9750,86,72,f,0,1,1,1,0,0,2,59,1512.5
168,4/23/1962,16,46875,17250,86,19,f,0,1,3,0,0,1,4,29,3906.25
169,5/23/1965,12,25500,14400,86,37,m,1,0,1,1,0,0,2,26,2125
