,obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
0,1,11.55,1,0,0,12,20,38,1,0,2.4466856,240,1,12,20,0,0
1,2,5.0,0,0,0,9,9,24,0,0,1.609438,81,0,0,0,0,0
2,3,12.0,0,0,0,16,15,37,1,0,2.4849067,240,0,0,0,0,0
3,4,7.0,0,1,1,14,38,58,0,0,1.9459101,532,0,0,0,1,14
4,5,21.15,1,1,0,16,19,41,1,1,3.0516398,304,1,16,19,1,16
5,6,6.92,1,0,0,12,4,22,1,0,1.9344158,48,1,12,4,0,0
6,7,10.0,1,0,0,12,14,32,0,0,2.3025851,168,1,12,14,0,0
7,8,8.0,1,1,0,12,32,50,0,1,2.0794415,384,1,12,32,1,12
8,9,15.63,0,0,0,18,7,31,1,0,2.7491922,126,0,0,0,0,0
9,10,18.22,1,0,0,18,5,29,1,0,2.90252,90,1,18,5,0,0
10,11,20.0,0,0,0,20,31,57,1,0,2.9957323,620,0,0,0,0,0
11,12,4.35,1,0,0,12,7,25,0,0,1.4701759,84,1,12,7,0,0
12,13,5.0,0,0,0,5,31,42,0,0,1.609438,155,0,0,0,0,0
13,14,8.25,0,1,0,12,14,32,0,0,2.1102133,168,0,0,0,1,12
14,15,15.0,0,0,1,12,15,33,0,0,2.7080503,180,0,0,0,0,0
15,16,19.0,1,1,1,14,26,46,0,1,2.944439,364,1,14,26,1,14
16,17,18.0,0,1,1,14,23,43,0,0,2.8903718,322,0,0,0,1,14
17,18,7.07,0,0,1,16,4,26,0,0,1.9558605,64,0,0,0,0,0
18,19,8.0,0,0,0,14,16,36,0,0,2.0794415,224,0,0,0,0,0
19,20,25.0,0,0,0,14,27,47,1,0,3.218876,378,0,0,0,0,0
20,21,17.3,1,0,0,12,44,62,1,0,2.8507063,528,1,12,44,0,0
21,22,16.0,1,0,0,12,38,56,0,0,2.7725887,456,1,12,38,0,0
22,23,5.0,1,0,0,12,19,37,0,0,1.609438,228,1,12,19,0,0
23,24,8.25,0,0,0,12,13,31,0,0,2.1102133,156,0,0,0,0,0
24,25,8.0,1,0,1,12,14,32,0,0,2.0794415,168,1,12,14,0,0
25,26,13.69,1,1,0,12,20,38,0,1,2.6166656,240,1,12,20,1,12
26,27,19.9,0,0,0,12,26,44,1,0,2.9907198,312,0,0,0,0,0
27,28,22.0,1,1,1,12,17,35,0,1,3.0910425,204,1,12,17,1,12
28,29,6.5,1,0,0,12,1,19,0,0,1.8718022,12,1,12,1,0,0
