,educ,age,income,pcigs79,ageeduc,smoker,educincome
0,12.0,21.0,8500.0,60.6,252.0,0.0,102000.0
1,15.0,28.0,12500.0,60.6,420.0,1.0,187500.0
2,10.0,67.0,12500.0,60.6,670.0,0.0,125000.0
3,12.0,20.0,12500.0,60.6,240.0,0.0,150000.0
4,12.0,32.0,20000.0,60.6,384.0,1.0,240000.0
5,15.0,46.0,30000.0,60.6,690.0,0.0,450000.0
6,12.0,58.0,30000.0,60.6,696.0,0.0,360000.0
7,13.5,27.0,30000.0,60.6,364.5,1.0,405000.0
8,0.0,83.0,6500.0,60.6,0.0,0.0,0.0
9,12.0,24.0,20000.0,60.6,288.0,1.0,240000.0
10,16.0,43.0,20000.0,60.6,688.0,1.0,320000.0
11,13.5,19.0,30000.0,60.6,256.5,0.0,405000.0
12,16.0,46.0,20000.0,60.6,736.0,0.0,320000.0
13,12.0,58.0,30000.0,60.6,696.0,1.0,360000.0
14,16.0,54.0,20000.0,60.6,864.0,0.0,320000.0
15,12.0,48.0,20000.0,60.6,576.0,0.0,240000.0
16,2.5,70.0,3500.0,60.6,175.0,0.0,8750.0
17,13.5,63.0,8500.0,60.6,850.5,0.0,114750.0
18,10.0,32.0,8500.0,60.9,320.0,0.0,85000.0
19,16.0,22.0,30000.0,60.8,352.0,0.0,480000.0
20,13.5,53.0,20000.0,60.8,715.5,0.0,270000.0
21,15.0,44.0,30000.0,60.8,660.0,1.0,450000.0
22,10.0,63.0,20000.0,60.8,630.0,0.0,200000.0
23,10.0,28.0,20000.0,60.8,280.0,1.0,200000.0
24,13.5,26.0,12500.0,60.8,351.0,1.0,168750.0
25,12.0,34.0,20000.0,60.8,408.0,1.0,240000.0
26,8.0,68.0,8500.0,60.8,544.0,0.0,68000.0
27,10.0,48.0,30000.0,60.8,480.0,1.0,300000.0
28,8.0,75.0,12500.0,61.5,600.0,0.0,100000.0
29,12.0,33.0,20000.0,61.5,396.0,0.0,240000.0
30,13.5,19.0,30000.0,61.5,256.5,0.0,405000.0
31,8.0,71.0,20000.0,61.5,568.0,1.0,160000.0
32,15.0,55.0,12500.0,61.5,825.0,0.0,187500.0
33,16.0,40.0,20000.0,61.5,640.0,0.0,320000.0
34,18.0,38.0,30000.0,61.5,684.0,1.0,540000.0
35,18.0,55.0,6500.0,62.1,990.0,0.0,117000.0
36,10.0,19.0,4500.0,62.1,190.0,1.0,45000.0
37,8.0,77.0,20000.0,62.1,616.0,0.0,160000.0
38,10.0,68.0,5500.0,62.1,680.0,1.0,55000.0
39,16.0,27.0,30000.0,62.1,432.0,0.0,480000.0
40,18.0,47.0,30000.0,62.1,846.0,0.0,540000.0
41,13.5,70.0,12500.0,62.1,945.0,0.0,168750.0
42,18.0,40.0,30000.0,62.1,720.0,0.0,540000.0
43,8.0,47.0,20000.0,62.1,376.0,0.0,160000.0
44,18.0,31.0,30000.0,62.1,558.0,0.0,540000.0
45,13.5,40.0,30000.0,62.1,540.0,1.0,405000.0
46,13.5,47.0,30000.0,62.1,634.5,0.0,405000.0
47,13.5,25.0,4500.0,62.1,337.5,0.0,60750.0
48,12.0,31.0,12500.0,62.1,372.0,0.0,150000.0
49,13.5,29.0,20000.0,62.1,391.5,1.0,270000.0
50,13.5,28.0,20000.0,62.1,378.0,1.0,270000.0
51,12.0,57.0,20000.0,62.1,684.0,0.0,240000.0
52,12.0,48.0,20000.0,62.1,576.0,0.0,240000.0
53,12.0,45.0,12500.0,62.1,540.0,0.0,150000.0
54,12.0,18.0,12500.0,62.1,216.0,1.0,150000.0
55,10.0,75.0,8500.0,62.1,750.0,0.0,85000.0
56,10.0,53.0,8500.0,62.1,530.0,0.0,85000.0
57,12.0,54.0,20000.0,62.1,648.0,1.0,240000.0
58,10.0,17.0,12500.0,62.1,170.0,0.0,125000.0
59,16.0,70.0,30000.0,62.1,1120.0,0.0,480000.0
60,12.0,29.0,20000.0,62.1,348.0,0.0,240000.0
61,10.0,75.0,8500.0,62.1,750.0,0.0,85000.0
62,12.0,19.0,20000.0,62.1,228.0,0.0,240000.0
63,13.5,30.0,30000.0,62.1,405.0,0.0,405000.0
64,12.0,27.0,30000.0,62.1,324.0,1.0,360000.0
65,16.0,31.0,30000.0,62.1,496.0,0.0,480000.0
66,6.0,44.0,8500.0,62.1,264.0,0.0,51000.0
67,12.0,39.0,20000.0,62.1,468.0,0.0,240000.0
68,12.0,27.0,500.0,62.1,324.0,1.0,6000.0
69,16.0,30.0,6500.0,62.1,480.0,0.0,104000.0
70,13.5,28.0,12500.0,62.1,378.0,0.0,168750.0
71,12.0,19.0,12500.0,62.1,228.0,0.0,150000.0
72,12.0,43.0,20000.0,62.1,516.0,0.0,240000.0
73,13.5,30.0,20000.0,62.1,405.0,0.0,270000.0
74,13.5,43.0,20000.0,62.1,580.5,1.0,270000.0
75,10.0,82.0,12500.0,62.1,820.0,0.0,125000.0
76,12.0,63.0,20000.0,62.1,756.0,0.0,240000.0
77,10.0,18.0,30000.0,62.1,180.0,0.0,300000.0
78,10.0,50.0,20000.0,62.1,500.0,1.0,200000.0
79,12.0,68.0,8500.0,62.1,816.0,0.0,102000.0
80,8.0,75.0,8500.0,62.1,600.0,0.0,68000.0
81,13.5,41.0,30000.0,62.1,553.5,1.0,405000.0
82,12.0,25.0,30000.0,62.1,300.0,1.0,360000.0
83,16.0,27.0,30000.0,62.1,432.0,1.0,480000.0
84,12.0,52.0,30000.0,62.1,624.0,0.0,360000.0
85,10.0,48.0,20000.0,62.1,480.0,1.0,200000.0
86,16.0,68.0,30000.0,62.1,1088.0,1.0,480000.0
87,8.0,19.0,12500.0,62.1,152.0,1.0,100000.0
88,12.0,54.0,30000.0,62.1,648.0,1.0,360000.0
89,16.0,51.0,12500.0,62.1,816.0,1.0,200000.0
90,12.0,24.0,30000.0,62.1,288.0,0.0,360000.0
91,2.5,43.0,30000.0,62.1,107.5,0.0,75000.0
92,6.0,58.0,4500.0,62.1,348.0,1.0,27000.0
93,12.0,39.0,20000.0,62.1,468.0,0.0,240000.0
94,6.0,54.0,4500.0,62.1,324.0,1.0,27000.0
95,12.0,33.0,12500.0,62.1,396.0,0.0,150000.0
96,0.0,44.0,5500.0,62.1,0.0,0.0,0.0
97,12.0,28.0,30000.0,62.1,336.0,0.0,360000.0
98,13.5,54.0,20000.0,62.1,729.0,1.0,270000.0
99,16.0,25.0,20000.0,62.1,400.0,0.0,320000.0
